Source \ Target,Collaboration,Event,Function,Grouping,Location,Path,Process,Role,Service,Assessment,Driver,Goal,Meaning,Outcome,Principle,Requirement,Stakeholder,Value,Capability,Course of Action,Resource,Value Stream,Business Actor,Business Interface,Business Object,Product,Application Component,Application Interface,Data Object,Artifact,Communication Network,Device,Distribution Network,Equipment,Facility,Material,Node,System Software,Technology Interface,Deliverable,Plateau,Work Package
Collaboration,CGOS,O,IO,CGIRVANOSFT,O,RO,IO,CGIO,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CGO,O,O,O,CGO,O,O,O,O,O,O,O,O,O,O,CGO,O,O,O
Event,O,CGOS,OFT,CGIRVANOSFT,O,O,OFT,O,OFT,O,O,NO,O,O,O,RNO,O,O,O,O,O,O,O,O,AO,O,O,O,AO,AO,O,O,O,O,O,AO,O,O,O,AO,OT,OFT
Function,O,OFT,CGOSFT,CGIRVANOSFT,O,O,CGOFT,O,RO,O,O,NO,O,O,O,RNO,O,O,RO,RO,O,RO,O,O,AO,O,O,O,AO,AO,O,O,O,O,O,AO,O,O,O,AO,O,O
Grouping,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT,CGIRVANOSFT
Location,CGO,CGO,CGO,CGIRVANOSFT,CGOS,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO,CGO
Path,O,O,O,CGIRVANOSFT,O,CGROS,O,O,O,O,O,NO,O,O,O,RNO,O,O,O,O,RO,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Process,O,OFT,CGOFT,CGIRVANOSFT,O,O,CGOSFT,O,RO,O,O,NO,O,O,O,RNO,O,O,RO,RO,O,RO,O,O,AO,O,O,O,AO,AO,O,O,O,O,O,AO,O,O,O,AO,O,O
Role,O,IO,IO,CGIRVANOSFT,O,RO,IO,CGIOS,O,O,O,NO,O,O,O,RNO,O,O,O,O,O,O,O,CGO,O,O,O,CGO,O,O,O,O,O,O,O,O,O,O,CGO,O,O,O
Service,VO,O,VO,CGIRVANOSFT,O,VO,VO,VO,CGOSFT,O,O,NO,O,O,O,RNO,O,O,O,O,O,O,VO,VO,AO,O,VO,VO,AO,AO,VO,VO,VO,VO,VO,AO,VO,VO,VO,AO,O,O
Assessment,O,O,O,CGIRVANOSFT,O,O,O,O,O,CGNOS,NO,NO,NO,NO,NO,NO,NO,NO,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
