source_domain,source,source_id,target_domain,target,target_id,relationship,code
Common,Collaboration,collaboration,Common,Collaboration,collaboration,Composition,C
Common,Collaboration,collaboration,Common,Collaboration,collaboration,Aggregation,G
Common,Collaboration,collaboration,Common,Collaboration,collaboration,Association,O
Common,Collaboration,collaboration,Common,Collaboration,collaboration,Specialization,S
Common,Collaboration,collaboration,Common,Event,event,Association,O
Common,Collaboration,collaboration,Common,Function,function,Assignment,I
Common,Collaboration,collaboration,Common,Function,function,Association,O
Common,Collaboration,collaboration,Common,Grouping,grouping,Composition,C
Common,Collaboration,collaboration,Common,Grouping,grouping,Aggregation,G
Common,Collaboration,collaboration,Common,Grouping,grouping,Assignment,I
Common,Collaboration,collaboration,Common,Grouping,grouping,Realization,R
Common,Collaboration,collaboration,Common,Grouping,grouping,Serving,V
Common,Collaboration,collaboration,Common,Grouping,grouping,Access,A
Common,Collaboration,collaboration,Common,Grouping,grouping,Influence,N
Common,Collaboration,collaboration,Common,Grouping,grouping,Association,O
Common,Collaboration,collaboration,Common,Grouping,grouping,Specialization,S
Common,Collaboration,collaboration,Common,Grouping,grouping,Flow,F
Common,Collaboration,collaboration,Common,Grouping,grouping,Triggering,T
Common,Collaboration,collaboration,Common,Location,location,Association,O
Common,Collaboration,collaboration,Common,Path,path,Realization,R
Common,Collaboration,collaboration,Common,Path,path,Association,O
Common,Collaboration,collaboration,Common,Process,process,Assignment,I
Common,Collaboration,collaboration,Common,Process,process,Association,O
Common,Collaboration,collaboration,Common,Role,role,Composition,C
Common,Collaboration,collaboration,Common,Role,role,Aggregation,G
Common,Collaboration,collaboration,Common,Role,role,Assignment,I
Common,Collaboration,collaboration,Common,Role,role,Association,O
Common,Collaboration,collaboration,Common,Service,service,Association,O
Common,Collaboration,collaboration,Motivation,Assessment,assessment,Association,O
Common,Collaboration,collaboration,Motivation,Driver,driver,Association,O
Common,Collaboration,collaboration,Motivation,Goal,goal,Association,O
Common,Collaboration,collaboration,Motivation,Meaning,meaning,Association,O
Common,Collaboration,collaboration,Motivation,Outcome,outcome,Association,O
Common,Collaboration,collaboration,Motivation,Principle,principle,Association,O
Common,Collaboration,collaboration,Motivation,Requirement,requirement,Association,O
Common,Collaboration,collaboration,Motivation,Stakeholder,stakeholder,Association,O
Common,Collaboration,collaboration,Motivation,Value,value,Association,O
Common,Collaboration,collaboration,Strategy,Capability,capability,Association,O
Common,Collaboration,collaboration,Strategy,Course of Action,course-of-action,Association,O
Common,Collaboration,collaboration,Strategy,Resource,resource,Association,O
Common,Collaboration,collaboration,Strategy,Value Stream,value-stream,Association,O
Common,Collaboration,collaboration,Business,Business Actor,business-actor,Association,O
Common,Collaboration,collaboration,Business,Business Interface,business-interface,Composition,C
Common,Collaboration,collaboration,Business,Business Interface,business-interface,Aggregation,G
Common,Collaboration,collaboration,Business,Business Interface,business-interface,Association,O
Common,Collaboration,collaboration,Business,Business Object,business-object,Association,O
Common,Collaboration,collaboration,Business,Product,product,Association,O
Common,Collaboration,collaboration,Application,Application Component,application-component,Association,O
Common,Collaboration,collaboration,Application,Application Interface,application-interface,Composition,C
Common,Collaboration,collaboration,Application,Application Interface,application-interface,Aggregation,G
Common,Collaboration,collaboration,Application,Application Interface,application-interface,Association,O
Common,Collaboration,collaboration,Application,Data Object,data-object,Association,O
Common,Collaboration,collaboration,Technology,Artifact,artifact,Association,O
Common,Collaboration,collaboration,Technology,Communication Network,communication-network,Association,O
Common,Collaboration,collaboration,Technology,Device,device,Association,O
Common,Collaboration,collaboration,Technology,Distribution Network,distribution-network,Association,O
Common,Collaboration,collaboration,Technology,Equipment,equipment,Association,O
Common,Collaboration,collaboration,Technology,Facility,facility,Association,O
Common,Collaboration,collaboration,Technology,Material,material,Association,O
Common,Collaboration,collaboration,Technology,Node,technology-node,Association,O
Common,Collaboration,collaboration,Technology,System Software,system-software,Association,O
Common,Collaboration,collaboration,Technology,Technology Interface,technology-interface,Composition,C
Common,Collaboration,collaboration,Technology,Technology Interface,technology-interface,Aggregation,G
Common,Collaboration,collaboration,Technology,Technology Interface,technology-interface,Association,O
Common,Collaboration,collaboration,Implementation & Migration,Deliverable,deliverable,Association,O
Common,Collaboration,collaboration,Implementation & Migration,Plateau,plateau,Association,O
